"","Kingdom","Phylum","Class","Order","Family","Genus","Commercial_R1","Commercial_R2","Commercial_R3","Control_extraction","Control_fermentation","Lactobacillus_H24_R1","Lactobacillus_H24_R2","Lactobacillus_H24_R3","Lactobacillus_H48_R1","Lactobacillus_H48_R2","Lactobacillus_H48_R3","Lactobacillus_W1_R1","Lactobacillus_W1_R2","Lactobacillus_W1_R3","Lactobacillus_W2_R1","Lactobacillus_W2_R2","Lactobacillus_W2_R3","Spontaneous_H24_R1","Spontaneous_H24_R2","Spontaneous_H24_R3","Spontaneous_H48_R1","Spontaneous_H48_R2","Spontaneous_H48_R3","Spontaneous_W1_R1","Spontaneous_W1_R2","Spontaneous_W1_R3","Spontaneous_W2_R1","Spontaneous_W2_R2","Spontaneous_W2_R3"
"ASV1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",167,100586,660,58,0,84844,126194,89195,81847,126544,118647,96754,110291,57325,125043,117618,107480,115,11,42,66,9,0,33963,12496,1226,2671,7799,60881
"ASV2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",55,66759,248,36,0,52972,79905,52984,53006,82860,77753,64632,75192,38718,85568,79421,74353,63,0,0,59,0,0,0,0,0,1804,5062,0
"ASV3","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",133,89,125,0,64,0,0,0,9,13,0,15,119,0,0,4,0,41135,1287,7,0,34071,40964,30377,56971,40829,1458,0,35972
"ASV4","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",0,368,0,0,0,5647,2412,564,1731,5404,2507,647,612,560,972,1825,8052,2963,44555,53371,5826,4546,684,148,405,586,1521,104,1592
"ASV5","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc",0,0,0,0,0,194,0,0,0,0,35,526,0,0,0,0,0,11177,80,371,101932,8021,307,2215,0,75,503,0,8941
"ASV6","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",0,1143,60,0,140,348,96,31,1595,70,657,2026,2192,444,329,322,4678,2200,1961,3801,11890,7933,22043,6854,11545,11842,22663,8658,5314
"ASV7","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",0,252,95,0,0,0,0,0,0,0,0,0,0,0,43,0,0,5869,10470,6184,3189,21153,17057,9046,3236,13162,10309,10699,5152
"ASV8","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",0,280,132,0,0,2815,132,21,1003,105,342,1108,545,685,206,593,446,7363,5870,6974,15678,6173,11361,3425,7055,7480,7845,9976,10430
"ASV9","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella",0,185,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,3337,3790,35480,0,20632,0,13567,621,0,8461,0,17746
"ASV10","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus",0,297,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,306,1206,580,0,36828,39534,0,42
