"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"Commercial_R1",16778,13226,13183,13200,13113,12499
"Commercial_R2",218777,178641,177733,178459,176766,176479
"Commercial_R3",14993,12109,12049,12098,11922,11670
"Control_extraction",2345,1419,1411,1414,1403,1403
"Control_fermentation",42709,34239,34114,34105,33515,33162
"Lactobacillus_H24_R1",236996,193289,192552,192803,190009,178597
"Lactobacillus_H24_R2",271744,221122,220906,220980,220054,217351
"Lactobacillus_H24_R3",185402,150467,150220,150328,149791,148672
"Lactobacillus_H48_R1",232087,189922,189536,189665,187248,177255
"Lactobacillus_H48_R2",277388,227640,227197,227476,226648,222104
"Lactobacillus_H48_R3",257945,210626,210217,210457,209083,205846
"Lactobacillus_W1_R1",237242,191040,190633,190702,189362,185573
"Lactobacillus_W1_R2",283367,233210,232746,232883,230755,224196
"Lactobacillus_W1_R3",135637,107509,107352,107386,106982,105252
"Lactobacillus_W2_R1",270194,219755,219374,219573,218558,217417
"Lactobacillus_W2_R2",262219,213873,213132,213708,212577,209841
"Lactobacillus_W2_R3",280448,230240,229271,229942,227359,218116
"Spontaneous_H24_R1",260410,209712,208384,208726,197139,162260
"Spontaneous_H24_R2",297828,241630,240341,240755,230290,169513
"Spontaneous_H24_R3",258467,209072,208224,208561,202745,166417
"Spontaneous_H48_R1",311391,253245,252497,252931,229750,203601
"Spontaneous_H48_R2",302367,243119,241992,242408,232963,186846
"Spontaneous_H48_R3",295072,238579,237584,238146,230008,193478
"Spontaneous_W1_R1",266958,217397,216521,216709,206641,165163
"Spontaneous_W1_R2",271112,218668,218010,217981,207723,180948
"Spontaneous_W1_R3",295075,239236,238162,238617,230440,187702
"Spontaneous_W2_R1",291669,237723,236868,237129,225123,190377
"Spontaneous_W2_R2",259494,208982,208097,208521,200762,151955
"Spontaneous_W2_R3",314666,256480,255722,255872,248160,210209
